RunNumber NLivePmts NTT8 Nentries MaxY MaxX GausAmp GausMean GausSigma SkewAmp SkewMean SkewLeftSigma SkewRightSigma BadChannels
5000 1857 124399 17022831 1.81033e+06 650.75 1.56266e+06 651.192 1.94108 3.85464e+06 649.807 1.27549 3.74994 2
5006 1870 124444 17152010 1.53177e+06 651.75 1.41579e+06 651.742 2.16165 3.88873e+06 650.105 1.32458 4.0556 5
5012 1781 124411 16430806 1.8499e+06 650.75 1.56363e+06 651.229 1.87398 3.72324e+06 649.822 1.1623 3.68847 3
5023 1737 124437 15926429 1.81818e+06 650.25 1.54247e+06 650.754 1.84212 3.60961e+06 649.353 1.12883 3.64576 5
5111 1744 124683 16647547 1.87073e+06 651.25 1.5769e+06 651.259 1.88647 3.77762e+06 649.842 1.16356 3.70484 4
5120 1737 52791 4291111 529441 650.75 453136 650.752 1.73169 993798 649.544 1.16237 3.31928 2
5197 1751 124400 16644776 1.90318e+06 650.75 1.61936e+06 651.259 1.83575 3.77584e+06 649.874 1.13295 3.62491 5
5219 1760 124315 16497889 1.84616e+06 650.75 1.56951e+06 651.261 1.87765 3.74266e+06 649.868 1.17067 3.65145 0
5235 1775 124556 16516574 1.7911e+06 650.75 1.55106e+06 651.242 1.90218 3.74737e+06 649.808 1.17534 3.69793 3
5244 1759 130772 17056417 1.92321e+06 650.25 1.64454e+06 650.769 1.85109 3.86694e+06 649.367 1.13466 3.6466 4
5262 1771 124399 16277274 1.84064e+06 651.75 1.54998e+06 651.757 1.87699 3.69504e+06 650.344 1.15466 3.70415 3
5281 1769 124407 16276920 1.80385e+06 651.25 1.52711e+06 651.258 1.90498 3.69475e+06 649.831 1.18133 3.73283 5
5300 1765 124393 16081232 1.80016e+06 650.75 1.53007e+06 651.244 1.87695 3.64817e+06 649.857 1.18233 3.66919 8
5364 1768 124457 15963019 1.80722e+06 650.25 1.5302e+06 650.729 1.86313 3.62188e+06 649.311 1.14327 3.67214 6
5398 1762 109744 14054905 1.49205e+06 650.25 1.30359e+06 650.733 1.92402 3.18671e+06 649.285 1.19887 3.74247 6
5448 1781 134206 17430492 2.03054e+06 650.75 1.69202e+06 650.781 1.84082 3.95653e+06 649.343 1.08571 3.6887 8
5469 1778 122771 15813508 1.77378e+06 650.75 1.49712e+06 650.767 1.88706 3.58879e+06 649.307 1.12662 3.73726 10
5496 1761 124377 15948081 1.69883e+06 650.75 1.48586e+06 651.275 1.91775 3.61949e+06 649.799 1.15522 3.71816 1
5533 1766 124429 15825205 1.79201e+06 651.25 1.52144e+06 651.732 1.85827 3.59131e+06 650.324 1.14318 3.64851 6
5569 1744 100082 12465369 1.44026e+06 651.75 1.20189e+06 651.774 1.85406 2.83008e+06 650.337 1.09818 3.67818 4
5579 1744 124400 15720822 1.7534e+06 650.75 1.49876e+06 651.248 1.87474 3.56883e+06 649.822 1.14614 3.66461 4
5607 1758 124387 15495894 1.75411e+06 650.75 1.49294e+06 651.251 1.85432 3.51638e+06 649.825 1.11814 3.64992 5
5635 1700 124434 14998880 1.7652e+06 650.75 1.48214e+06 651.258 1.80739 3.40276e+06 649.861 1.07968 3.59981 8
5645 1713 124426 15156302 1.68658e+06 650.75 1.44678e+06 651.259 1.87162 3.43958e+06 649.822 1.13149 3.6689 7
5656 1688 124468 14930854 1.75594e+06 650.75 1.47101e+06 651.265 1.81342 3.38825e+06 649.874 1.09314 3.59898 7
5698 1706 124440 14975724 1.71326e+06 651.25 1.43423e+06 651.281 1.86616 3.39922e+06 649.834 1.10501 3.69278 9
5710 1706 124437 14955564 1.62085e+06 651.25 1.38498e+06 651.267 1.93005 3.39508e+06 649.78 1.15496 3.7654 6
5727 1718 99474 12063494 1.38912e+06 650.75 1.17411e+06 651.252 1.83456 2.73626e+06 649.848 1.11211 3.62943 4
5749 1661 124425 14543330 1.6859e+06 650.75 1.42524e+06 651.269 1.82239 3.29944e+06 649.83 1.06458 3.62814 6
5795 1640 124446 14116291 1.61178e+06 650.75 1.36722e+06 651.258 1.84415 3.20285e+06 649.839 1.11392 3.64134 3
5863 1624 124471 14035684 1.61543e+06 651.25 1.36418e+06 651.765 1.83687 3.18401e+06 650.334 1.09565 3.66305 7
5883 1642 124500 14344562 1.6271e+06 651.25 1.3802e+06 651.766 1.85552 3.25397e+06 650.319 1.10417 3.67992 4
5906 1586 124454 13617051 1.54209e+06 651.25 1.31111e+06 651.759 1.85396 3.08847e+06 650.33 1.12285 3.67498 4
5937 1684 124456 14716831 1.6945e+06 651.25 1.43056e+06 651.748 1.83734 3.33949e+06 650.337 1.11795 3.65261 5
5943 1672 124416 14623415 1.67176e+06 651.75 1.40097e+06 651.771 1.86527 3.31954e+06 650.315 1.10137 3.71659 4
5977 1663 124506 14702608 1.63486e+06 650.75 1.40397e+06 651.262 1.87071 3.33711e+06 649.802 1.11588 3.69961 3
5996 1656 99493 11504354 1.33205e+06 650.75 1.12418e+06 651.259 1.82746 2.61026e+06 649.829 1.08545 3.65071 5
6005 1684 109637 12893488 1.45568e+06 651.25 1.22658e+06 651.251 1.87777 2.92603e+06 649.784 1.11626 3.73928 3
6014 1658 124494 14678362 1.72619e+06 650.75 1.44794e+06 651.247 1.80914 3.32807e+06 649.856 1.09217 3.61863 6
6033 1691 124507 14754180 1.7095e+06 650.75 1.44704e+06 651.26 1.82134 3.34832e+06 649.827 1.07479 3.63936 9
6035 1729 124489 15224668 1.73786e+06 650.25 1.48201e+06 650.775 1.83495 3.45498e+06 649.314 1.06656 3.66147 5
6039 1726 124430 15230311 1.72726e+06 650.75 1.46602e+06 651.251 1.85525 3.45559e+06 649.808 1.1101 3.67704 6
6068 1721 125068 15209201 1.71831e+06 651.75 1.44472e+06 651.777 1.88087 3.45218e+06 650.313 1.12293 3.73992 7
6112 1721 99883 12712791 1.50062e+06 651.25 1.26515e+06 651.772 1.79606 2.88629e+06 650.339 1.04113 3.60609 4
6113 1682 99917 12550596 1.41051e+06 652.25 1.19596e+06 652.289 1.87401 2.84694e+06 650.843 1.12561 3.71822 4
6118 1694 99862 12459333 1.44037e+06 651.75 1.21928e+06 652.26 1.82406 2.82544e+06 650.85 1.0963 3.63277 3
6122 1709 99780 12682626 1.44445e+06 651.25 1.2236e+06 651.749 1.8525 2.87932e+06 650.334 1.13088 3.65356 6
6137 1729 124423 16163977 1.86429e+06 651.25 1.58438e+06 651.768 1.82314 3.66931e+06 650.324 1.06944 3.63845 4
6167 1729 308276 39835738 4.44175e+06 651.75 3.80027e+06 652.245 1.87343 9.04476e+06 650.791 1.12537 3.69171 3
6177 1742 125533 16171826 1.75709e+06 651.75 1.52718e+06 652.269 1.89203 3.67104e+06 650.778 1.11917 3.7215 8
6184 1743 99396 12861202 1.42631e+06 651.75 1.22879e+06 652.258 1.86953 2.91861e+06 650.785 1.1061 3.69491 4
6210 1752 100551 12957503 1.41494e+06 651.25 1.22175e+06 651.769 1.8945 2.94069e+06 650.285 1.12768 3.7211 5
6229 1734 124467 15755039 1.70589e+06 651.75 1.46447e+06 651.767 1.92304 3.57766e+06 650.253 1.13614 3.78648 6
6264 1717 125123 15623733 1.77029e+06 651.75 1.50628e+06 652.26 1.85254 3.54498e+06 650.836 1.12397 3.66374 5
6283 1705 102267 12747779 1.43134e+06 650.75 1.22075e+06 651.265 1.86246 2.88869e+06 649.867 1.15758 3.66723 5
6315 1760 124548 16114681 1.84757e+06 650.75 1.56932e+06 651.259 1.8351 3.65869e+06 649.794 1.06462 3.66102 7
6336 1754 124455 15967935 1.80293e+06 651.75 1.53449e+06 652.254 1.85926 3.6247e+06 650.814 1.12012 3.67841 3
6353 1759 124503 16067305 1.89624e+06 651.25 1.59426e+06 651.76 1.80121 3.64787e+06 650.328 1.04881 3.61638 3
6397 1744 124403 15778650 1.79336e+06 651.75 1.5194e+06 652.268 1.85552 3.58175e+06 650.822 1.10652 3.67404 3
6443 1734 108354 13570194 1.52769e+06 652.25 1.29392e+06 652.288 1.87447 3.08111e+06 650.783 1.07461 3.74042 1
6476 1746 124486 15813266 1.73462e+06 651.75 1.48113e+06 651.768 1.90913 3.59182e+06 650.261 1.1211 3.76509 9
6482 1728 373815 46757528 5.44194e+06 651.75 4.58199e+06 652.232 1.82425 1.06172e+07 650.798 1.0718 3.62349 0
6485 1738 75954 9539473 1.08351e+06 651.75 922685 652.255 1.84813 2.16604e+06 650.797 1.08378 3.65299 3
6516 1754 249101 32282583 3.65632e+06 651.25 3.11826e+06 651.742 1.85113 7.332e+06 650.293 1.09814 3.65316 5
6642 1699 124182 15807883 1.82033e+06 651.75 1.54647e+06 652.246 1.82931 3.59196e+06 650.807 1.0752 3.60609 4
6671 1703 124144 15664757 1.74029e+06 652.25 1.47685e+06 652.269 1.89943 3.56127e+06 650.802 1.14171 3.70503 7
6727 1709 124097 15638030 1.50397e+06 652.25 1.37264e+06 652.263 2.03972 3.55528e+06 650.643 1.19641 3.88976 4
6869 1713 124248 15795026 1.73962e+06 652.25 1.49015e+06 652.299 1.89797 3.59063e+06 650.794 1.10041 3.71467 3
6914 1710 124189 15823063 1.7201e+06 652.25 1.47198e+06 652.271 1.92433 3.59631e+06 650.784 1.15055 3.73524 4
6922 1714 10707 1276039 145750 652.25 122745 652.297 1.86268 290225 650.832 1.09003 3.66105 5
6983 1713 123762 14934352 1.63142e+06 651.25 1.40903e+06 651.761 1.89541 3.39179e+06 650.287 1.1279 3.68587 4
7031 1716 130627 15875238 1.8188e+06 650.75 1.53968e+06 651.25 1.84319 3.60388e+06 649.836 1.10948 3.61712 3
7101 1715 124014 15291044 1.73552e+06 651.25 1.4769e+06 651.764 1.8511 3.47157e+06 650.345 1.1157 3.62111 4
7127 1711 124146 15194862 1.65391e+06 651.25 1.41834e+06 651.252 1.91605 3.45081e+06 649.774 1.14719 3.73346 0
7159 1695 123972 15082232 1.69929e+06 651.25 1.43332e+06 651.265 1.88097 3.42341e+06 649.845 1.14774 3.6832 5
7197 1714 184705 22693481 2.33946e+06 651.75 2.05891e+06 651.786 1.97087 5.1535e+06 650.246 1.16428 3.80757 2
7244 1705 124352 15123508 1.62696e+06 651.75 1.41138e+06 652.235 1.91655 3.43562e+06 650.76 1.15545 3.70994 5
7319 1770 124168 15476757 1.80784e+06 651.75 1.51853e+06 652.257 1.82155 3.51323e+06 650.846 1.08576 3.60542 4
7353 1771 15708 1926183 213745 650.75 183707 651.274 1.87327 437086 649.854 1.1451 3.653 16
7369 1777 124155 15493425 1.64376e+06 651.25 1.43544e+06 651.755 1.92948 3.51803e+06 650.267 1.16201 3.72969 7
7377 1773 124043 15419952 1.69341e+06 651.25 1.44817e+06 651.303 1.90405 3.50153e+06 649.805 1.10839 3.73122 5
7399 1765 124008 15360205 1.68544e+06 651.25 1.43255e+06 651.271 1.91754 3.48843e+06 649.799 1.1558 3.73939 4
7420 1761 124019 15280974 1.68503e+06 650.75 1.44635e+06 651.247 1.88888 3.47014e+06 649.794 1.1393 3.68521 7
7457 1772 124238 15401788 1.63256e+06 651.75 1.42859e+06 652.257 1.92715 3.49723e+06 650.759 1.15069 3.73453 7
7498 1772 124060 15347304 1.79329e+06 651.75 1.50817e+06 652.264 1.81901 3.48428e+06 650.836 1.06646 3.60968 3
