RunNumber NLivePmts NTT8 Nentries MaxY MaxX GausAmp GausMean GausSigma SkewAmp SkewMean SkewLeftSigma SkewRightSigma BadChannels
7525 1775 124081 15336841 1.66002e+06 650.75 1.44426e+06 651.27 1.89836 3.48263e+06 649.779 1.11856 3.70564 4
7575 1773 123944 15155445 1.65098e+06 651.25 1.40621e+06 651.248 1.92834 3.44403e+06 649.747 1.14636 3.7646 7
7583 1782 328856 40690279 4.21608e+06 650.75 3.73669e+06 651.248 1.94729 9.24413e+06 649.706 1.1406 3.76896 6
7587 1801 147077 18395620 1.90584e+06 651.25 1.67671e+06 651.294 1.96228 4.1791e+06 649.709 1.11451 3.81834 8
7591 1797 470044 58809912 6.77907e+06 650.75 5.72341e+06 651.257 1.83752 1.33581e+07 649.815 1.08136 3.63302 0
7622 1809 124168 15533585 1.79038e+06 650.75 1.51057e+06 651.26 1.83837 3.52717e+06 649.793 1.05452 3.63905 8
7629 1780 124073 15375319 1.71096e+06 651.25 1.44994e+06 651.279 1.89242 3.48505e+06 649.849 1.15283 3.71114 3
7643 1805 124226 15504585 1.70796e+06 651.25 1.47225e+06 651.775 1.88255 3.52064e+06 650.275 1.09007 3.69431 7
7669 1806 124203 15498756 1.76009e+06 651.75 1.47869e+06 651.783 1.87541 3.52173e+06 650.303 1.09073 3.70309 5
7699 1811 124024 15504653 1.72197e+06 651.25 1.47564e+06 651.753 1.87861 3.52138e+06 650.281 1.1124 3.68446 7
7740 1827 124048 16412310 1.87977e+06 651.75 1.60028e+06 652.267 1.83448 3.7282e+06 650.804 1.05649 3.62704 6
7765 1823 125255 16544091 1.88529e+06 652.25 1.58104e+06 652.278 1.87243 3.7591e+06 650.814 1.09912 3.68972 5
7788 1824 124577 16433153 1.86205e+06 651.75 1.58337e+06 652.251 1.85648 3.73342e+06 650.813 1.11268 3.64519 5
7832 1715 125488 15426767 1.63833e+06 651.75 1.43919e+06 652.269 1.9134 3.49692e+06 650.842 1.18743 3.67979 2
7836 1797 148889 19147566 2.06562e+06 651.75 1.78316e+06 651.792 1.9212 4.35002e+06 650.263 1.10815 3.75134 8
7854 1780 153895 19688999 2.20484e+06 651.75 1.88914e+06 652.249 1.86399 4.47149e+06 650.803 1.11132 3.64177 4
7868 1785 134744 17195282 1.83504e+06 651.75 1.60504e+06 652.26 1.91559 3.90461e+06 650.76 1.13025 3.70908 6
7912 1795 243644 31215445 3.12066e+06 651.25 2.77883e+06 651.751 2.00913 7.09086e+06 650.22 1.21993 3.80466 5
7952 1788 133135 16981770 1.70441e+06 652.25 1.51394e+06 652.285 2.00739 3.85924e+06 650.708 1.1863 3.84597 8
7969 1793 129749 16606905 1.79848e+06 651.75 1.56429e+06 652.255 1.89907 3.77266e+06 650.77 1.12486 3.69087 5
7986 1796 126637 16228866 1.80948e+06 651.75 1.5409e+06 652.259 1.88366 3.68604e+06 650.801 1.12248 3.66729 8
8002 1795 49991 6387429 672134 652.25 584235 652.29 1.95682 1.45181e+06 650.738 1.13742 3.79546 5
8005 1791 199898 25809951 2.87358e+06 651.75 2.456e+06 652.246 1.87996 5.86335e+06 650.792 1.12921 3.66382 3
8014 1793 99145 12697975 1.36183e+06 652.25 1.17542e+06 652.282 1.93379 2.8863e+06 650.747 1.11992 3.76523 5
8021 1789 199683 25789084 2.92393e+06 651.75 2.48542e+06 652.253 1.85597 5.85806e+06 650.796 1.09241 3.64521 3
8050 1786 124154 15859162 1.72999e+06 652.25 1.48342e+06 652.275 1.91351 3.60438e+06 650.762 1.11325 3.73954 5
8091 1800 124187 16113238 1.84206e+06 652.25 1.54732e+06 652.282 1.86441 3.66255e+06 650.814 1.08554 3.67349 6
8149 1800 123989 16025378 1.8445e+06 651.75 1.56165e+06 652.255 1.8362 3.64127e+06 650.805 1.07182 3.62054 7
8171 1774 124091 15673810 1.71349e+06 651.75 1.47467e+06 652.251 1.89994 3.55835e+06 650.814 1.16793 3.68123 3
8180 1793 147378 18881003 2.13161e+06 652.25 1.79664e+06 652.272 1.88121 4.29161e+06 650.785 1.09241 3.70464 7
8201 1801 124279 15878305 1.7442e+06 651.25 1.50262e+06 651.765 1.89007 3.60691e+06 650.279 1.11037 3.68488 2
8228 1799 123983 15884372 1.76478e+06 651.75 1.51084e+06 652.259 1.88078 3.60865e+06 650.808 1.13136 3.66497 9
8242 1815 124091 16091166 1.79037e+06 652.25 1.51955e+06 652.267 1.89601 3.65805e+06 650.778 1.10931 3.71299 6
8282 1789 124013 15813485 1.75388e+06 651.25 1.5112e+06 651.776 1.87173 3.59218e+06 650.292 1.08887 3.66748 6
8344 1810 124069 15822545 1.72714e+06 652.25 1.46415e+06 652.26 1.93392 3.596e+06 650.768 1.15496 3.76103 8
8388 1819 124127 15936637 1.7985e+06 651.75 1.52916e+06 652.255 1.86406 3.62001e+06 650.8 1.10418 3.65333 2
8415 1808 124130 16014101 1.82159e+06 651.75 1.54955e+06 652.254 1.84926 3.63892e+06 650.8 1.08622 3.63567 4
8473 1808 124005 15856427 1.70682e+06 651.75 1.48548e+06 652.266 1.90815 3.60014e+06 650.788 1.14314 3.70589 3
8504 1805 124044 15806799 1.79463e+06 651.75 1.52807e+06 652.256 1.85001 3.59022e+06 650.803 1.09134 3.64307 6
8506 1795 124029 15792235 1.76386e+06 651.75 1.50439e+06 652.265 1.87643 3.58541e+06 650.828 1.13669 3.66548 7
8544 1808 124087 15850115 1.74817e+06 651.75 1.49994e+06 652.247 1.89021 3.60085e+06 650.788 1.1353 3.68026 5
8545 1534 124162 13302374 1.47802e+06 651.75 1.2653e+06 652.248 1.87955 3.02063e+06 650.804 1.1365 3.67157 10
8564 1803 124041 15813024 1.745e+06 651.75 1.50551e+06 652.274 1.87852 3.59186e+06 650.787 1.09573 3.67775 8
8566 1798 124036 15819872 1.81301e+06 651.75 1.53624e+06 652.249 1.84075 3.59135e+06 650.823 1.09899 3.62445 4
8589 1785 124068 15470321 1.7328e+06 652.25 1.46543e+06 652.269 1.88898 3.51428e+06 650.797 1.11429 3.69553 7
8601 1786 124000 15555301 1.73105e+06 651.75 1.49279e+06 652.274 1.86403 3.53308e+06 650.801 1.08766 3.64421 7
8612 1780 124105 15554879 1.78061e+06 651.75 1.50712e+06 652.258 1.84585 3.5325e+06 650.821 1.09432 3.62405 5
8641 1787 124058 15564476 1.6914e+06 651.75 1.46164e+06 652.257 1.90234 3.53084e+06 650.818 1.16265 3.67452 5
8642 1777 124010 15502315 1.78489e+06 651.75 1.51663e+06 652.254 1.82717 3.51878e+06 650.832 1.08589 3.60254 8
8662 1784 124166 15770310 1.68236e+06 652.75 1.46073e+06 652.786 1.93172 3.58241e+06 651.268 1.13035 3.74742 4
8672 1757 123980 15347528 1.76758e+06 651.75 1.50089e+06 652.263 1.82913 3.48568e+06 650.821 1.07075 3.60559 11
8680 1732 124047 15062647 1.68824e+06 652.25 1.43064e+06 652.27 1.8843 3.42194e+06 650.798 1.10784 3.68346 4
8730 1730 123627 14965376 1.56551e+06 652.25 1.36597e+06 652.3 1.96003 3.39902e+06 650.768 1.15517 3.7772 8
8756 1756 124174 15257451 1.66847e+06 652.25 1.44299e+06 652.743 1.89139 3.46528e+06 651.276 1.13053 3.66633 4
8762 1769 124057 15385089 1.7524e+06 651.75 1.48957e+06 652.255 1.84789 3.49443e+06 650.81 1.08963 3.61408 5
8864 1779 88711 11018156 1.24142e+06 651.75 1.05729e+06 652.25 1.86422 2.5024e+06 650.809 1.11461 3.63124 6
8932 1778 140155 17555567 2.00533e+06 651.75 1.70514e+06 652.255 1.84221 3.988e+06 650.807 1.07934 3.61198 4
8961 1785 124075 15534057 1.78095e+06 652.25 1.4964e+06 652.271 1.859 3.53091e+06 650.804 1.07762 3.65454 11
8998 1780 123999 15440909 1.71723e+06 652.25 1.46568e+06 652.286 1.88611 3.50917e+06 650.778 1.08175 3.69775 6
9009 1776 123954 15447999 1.72053e+06 651.75 1.48565e+06 652.253 1.85974 3.50881e+06 650.766 1.07222 3.65572 3
9028 1773 124158 15403778 1.77176e+06 651.75 1.50476e+06 652.24 1.8312 3.4988e+06 650.794 1.07011 3.61061 6
9038 1815 123989 15695569 1.72269e+06 651.25 1.49483e+06 651.769 1.8777 3.56459e+06 650.277 1.0911 3.6747 10
9058 1800 124153 15533648 1.80569e+06 651.75 1.52743e+06 652.253 1.81902 3.52792e+06 650.813 1.06128 3.59892 6
9064 1808 124853 15711000 1.81562e+06 651.75 1.53804e+06 652.249 1.82742 3.56866e+06 650.794 1.05658 3.60841 7
9073 1803 124072 15500169 1.81957e+06 651.75 1.53279e+06 652.242 1.80879 3.52017e+06 650.791 1.03332 3.5884 7
9083 1799 124030 15385984 1.64085e+06 651.25 1.43338e+06 651.745 1.91902 3.49373e+06 650.226 1.1201 3.72467 10
9119 1832 124072 15686205 1.76943e+06 651.75 1.50899e+06 652.238 1.85981 3.56356e+06 650.774 1.09113 3.6431 8
9140 1827 124076 15609479 1.71687e+06 651.75 1.48034e+06 652.256 1.88651 3.54609e+06 650.779 1.11439 3.66937 3
9185 1829 124186 15722018 1.79084e+06 651.75 1.52586e+06 652.254 1.8437 3.572e+06 650.794 1.07324 3.62398 4
9229 1832 124082 15606810 1.78017e+06 652.25 1.49445e+06 652.286 1.86904 3.54612e+06 650.812 1.08483 3.6778 6
9275 1820 124152 15360024 1.768e+06 651.75 1.49765e+06 652.258 1.83451 3.48879e+06 650.809 1.07024 3.61693 4
9321 1834 123971 15470696 1.74017e+06 651.75 1.48969e+06 652.264 1.85775 3.51419e+06 650.792 1.08151 3.64308 3
9384 1817 123972 15121427 1.60101e+06 652.25 1.38358e+06 652.265 1.95556 3.43577e+06 650.729 1.14788 3.78682 5
9389 1814 15043 1768827 202724 651.75 171227 652.256 1.84577 401476 650.82 1.09852 3.64803 6
9436 1829 123968 15254324 1.70712e+06 651.75 1.44459e+06 651.793 1.88974 3.46616e+06 650.29 1.08738 3.7133 4
9577 1733 133779 15372378 1.71502e+06 651.75 1.4729e+06 652.258 1.86579 3.48946e+06 650.791 1.09684 3.64842 6
9617 1724 123986 14434814 1.59585e+06 651.75 1.37095e+06 652.265 1.88355 3.27915e+06 650.78 1.10022 3.67319 4
9666 1824 124130 15096779 1.71612e+06 652.25 1.43865e+06 652.281 1.87806 3.43026e+06 650.813 1.10159 3.68714 7
9712 1807 124168 15049484 1.63874e+06 652.25 1.40487e+06 652.276 1.91548 3.41789e+06 650.768 1.12354 3.75889 7
9718 1822 124153 15249361 1.68545e+06 652.25 1.4328e+06 652.274 1.90352 3.46348e+06 650.779 1.11593 3.73329 6
9756 1828 124021 15338518 1.69529e+06 651.75 1.45543e+06 652.261 1.8852 3.48457e+06 650.785 1.11181 3.67724 6
9786 1828 124191 15433346 1.73313e+06 651.25 1.48809e+06 651.76 1.85509 3.50566e+06 650.287 1.0809 3.64739 5
9813 1818 124019 15285148 1.68815e+06 652.25 1.43088e+06 652.271 1.91069 3.47188e+06 650.785 1.13133 3.73609 6
9862 1827 124117 15231414 1.70532e+06 651.75 1.45515e+06 652.253 1.87204 3.4595e+06 650.789 1.10747 3.65987 5
9893 1825 123955 14931463 1.63858e+06 651.75 1.41616e+06 652.242 1.88525 3.3907e+06 650.758 1.10902 3.67964 8
9906 1815 124004 14978477 1.66932e+06 651.25 1.42449e+06 651.745 1.87895 3.3996e+06 650.294 1.13176 3.67297 5
9910 1819 124004 15028570 1.66188e+06 651.25 1.42889e+06 651.752 1.87957 3.41128e+06 650.264 1.0987 3.68365 8
9956 1828 124037 15157798 1.74347e+06 651.75 1.47647e+06 652.266 1.83519 3.44106e+06 650.818 1.07376 3.62445 7
10002 1803 139161 16822436 1.89159e+06 651.75 1.594e+06 651.768 1.88677 3.81972e+06 650.294 1.11173 3.71847 9
10020 1795 133878 16126848 1.87069e+06 652.25 1.56262e+06 652.283 1.84635 3.66324e+06 650.811 1.05627 3.66249 8
10030 1802 124040 15027083 1.69228e+06 651.75 1.43879e+06 652.245 1.86756 3.41252e+06 650.798 1.1162 3.65389 3
10054 1817 124004 15115092 1.65574e+06 651.75 1.43472e+06 652.252 1.88362 3.4324e+06 650.75 1.09146 3.68762 6
10091 1795 123975 14939071 1.65054e+06 651.75 1.41857e+06 652.252 1.88301 3.3926e+06 650.762 1.09749 3.68169 1
10107 1798 124196 15019091 1.67408e+06 652.25 1.42292e+06 652.286 1.88875 3.41241e+06 650.782 1.08542 3.71117 6
10127 1786 123957 14861846 1.71862e+06 650.75 1.44809e+06 651.257 1.83432 3.37336e+06 649.814 1.07278 3.62021 8
10145 1783 123794 14545784 1.6229e+06 652.25 1.37596e+06 652.264 1.89032 3.3029e+06 650.764 1.09345 3.71869 4
10156 1808 124071 14596212 1.65921e+06 651.75 1.41005e+06 652.262 1.85073 3.31405e+06 650.827 1.10484 3.63216 3
10157 1811 124174 14889995 1.59299e+06 652.25 1.37858e+06 652.271 1.93232 3.38288e+06 650.73 1.11712 3.76835 6
10160 1811 124178 14980840 1.55826e+06 652.25 1.36312e+06 652.254 1.9665 3.40418e+06 650.696 1.14719 3.80529 8
10193 1813 123990 15157796 1.69504e+06 651.75 1.45683e+06 652.256 1.86109 3.44308e+06 650.78 1.08404 3.6515 7
10206 1792 124200 14826654 1.63456e+06 652.25 1.38841e+06 652.267 1.90948 3.36699e+06 650.78 1.12939 3.74103 5
10244 1800 124149 14971922 1.47382e+06 651.25 1.33156e+06 651.746 2.01 3.40029e+06 650.172 1.19376 3.83756 5
10263 1811 124124 15029063 1.73065e+06 651.75 1.46545e+06 652.278 1.83351 3.41259e+06 650.834 1.07328 3.62679 3
10300 1804 123974 14952049 1.72154e+06 651.75 1.4568e+06 652.264 1.83538 3.3954e+06 650.825 1.07991 3.61719 6
10432 1810 124032 15028564 1.59597e+06 651.25 1.40162e+06 651.758 1.91744 3.41301e+06 650.25 1.12613 3.71001 6
10495 1799 124179 14927667 1.60111e+06 651.75 1.39583e+06 652.249 1.91167 3.38966e+06 650.744 1.12638 3.72276 9
10623 1807 136933 16435180 1.91535e+06 651.75 1.61533e+06 652.263 1.8196 3.73269e+06 650.812 1.04833 3.60962 7
10721 1751 118942 13679871 1.52981e+06 652.25 1.29758e+06 652.289 1.88542 3.10619e+06 650.817 1.1078 3.69632 9
10915 1811 124105 16542076 1.85256e+06 651.75 1.56655e+06 651.76 1.89214 3.76241e+06 650.297 1.13011 3.68556 9
10979 1811 124005 16448416 1.87576e+06 651.75 1.59599e+06 652.25 1.84538 3.73901e+06 650.818 1.10076 3.60802 7
10993 1808 124179 16438280 1.90654e+06 651.75 1.617e+06 652.267 1.82039 3.73713e+06 650.831 1.06608 3.58918 10
10994 1800 124013 16287180 1.85931e+06 651.75 1.58475e+06 652.249 1.8395 3.7015e+06 650.814 1.09473 3.61511 5
11030 1806 123951 16328445 1.7835e+06 652.25 1.53344e+06 652.286 1.90755 3.71325e+06 650.772 1.10566 3.7193 7
11042 1802 123966 16334016 1.81739e+06 652.25 1.53547e+06 652.279 1.90588 3.71471e+06 650.802 1.12981 3.70216 6
11087 1805 4276068 144479693 1.57354e+07 651.75 1.29674e+07 652.288 1.97111 3.25752e+07 650.815 1.19683 3.93284 0
11126 1804 124024 16229808 1.84094e+06 651.75 1.5671e+06 652.253 1.85484 3.69006e+06 650.807 1.09839 3.61819 4
11195 1804 3264576 65374861 2.85355e+06 675.75 2.03742e+06 677.944 3.76995 0 0 0 0 0
11209 1808 124125 17153398 2.01433e+06 651.75 1.70435e+06 652.256 1.80386 3.90239e+06 650.819 1.04162 3.5643 4
11274 1790 124181 16283222 1.7996e+06 651.75 1.55214e+06 652.263 1.87811 3.7016e+06 650.778 1.09741 3.66668 9
11321 1791 123991 16236102 1.83219e+06 652.25 1.55282e+06 652.283 1.8733 3.69236e+06 650.796 1.08319 3.67601 3
11336 1765 124187 15990862 1.78853e+06 651.75 1.5375e+06 652.26 1.86194 3.63458e+06 650.787 1.08642 3.63907 5
11337 1765 124151 16100467 1.76866e+06 651.75 1.53125e+06 652.259 1.88266 3.66017e+06 650.782 1.11242 3.66003 4
11338 1765 124033 16122049 1.74842e+06 652.25 1.49356e+06 652.262 1.93402 3.66655e+06 650.775 1.16411 3.73026 4
11339 1765 124152 16166624 1.86235e+06 651.75 1.58692e+06 652.262 1.82428 3.67512e+06 650.814 1.06066 3.59206 5
11340 1764 124172 16159276 1.83576e+06 651.75 1.5727e+06 652.255 1.83973 3.67322e+06 650.792 1.06836 3.61237 4
11341 1765 124194 16178459 1.82636e+06 652.25 1.55231e+06 652.276 1.86729 3.6794e+06 650.772 1.06131 3.67573 6
